user_id,rating,rating_date,movie_id
2625420,2.0,2004-05-13,28.0
908205,4.0,2005-03-29,28.0
1984086,5.0,2004-09-18,28.0
303948,4.0,2004-08-29,28.0
1673185,3.0,2003-10-06,28.0
1227322,2.0,2003-09-28,28.0
2602249,3.0,2005-09-30,28.0
2102030,4.0,2003-02-12,28.0
2119007,5.0,2005-08-20,28.0
1509395,4.0,2004-09-17,28.0
1784150,3.0,2004-11-14,28.0
789969,5.0,2005-03-14,28.0
716874,5.0,2005-03-04,28.0
727242,1.0,2004-01-26,28.0
235789,5.0,2004-10-27,28.0
1272379,4.0,2005-01-11,28.0
2035299,3.0,2005-11-04,28.0
1792741,3.0,2004-11-01,28.0
1314869,4.0,2004-06-28,28.0
636262,5.0,2005-06-03,28.0
2062350,5.0,2003-06-16,28.0
1819462,4.0,2005-03-17,28.0
2439493,1.0,2003-02-13,28.0
147386,4.0,2004-11-09,28.0
1452127,4.0,2005-05-13,28.0
684876,4.0,2004-03-30,28.0
1473980,5.0,2005-08-19,28.0
2040859,3.0,2004-08-17,28.0
1110156,4.0,2003-04-25,28.0
1028463,4.0,2003-06-02,28.0
743633,5.0,2004-12-31,28.0
952156,2.0,2004-05-10,28.0
1903324,4.0,2003-11-21,28.0
1777406,4.0,2002-12-22,28.0
2248080,3.0,2003-03-05,28.0
638020,2.0,2004-08-25,28.0
769702,4.0,2004-11-28,28.0
2457095,2.0,2004-03-11,28.0
394895,4.0,2004-04-15,28.0
595778,5.0,2003-05-02,28.0
1105029,5.0,2004-08-15,28.0
2537543,1.0,2005-04-06,28.0
322009,3.0,2004-03-26,28.0
2083367,5.0,2004-12-01,28.0
1470123,1.0,2002-10-16,28.0
157667,5.0,2004-08-30,28.0
1664010,5.0,2005-10-12,28.0
2327743,4.0,2003-11-12,28.0
49890,5.0,2003-11-16,28.0
507094,4.0,2004-08-22,28.0
862596,1.0,2005-09-14,28.0
2297136,5.0,2005-03-15,28.0
873713,3.0,2004-10-25,28.0
2514777,5.0,2003-11-04,28.0
1298511,4.0,2003-07-05,28.0
71594,3.0,2003-04-24,28.0
166041,5.0,2005-04-23,28.0
722591,5.0,2003-06-21,28.0
3321,4.0,2005-09-27,28.0
2225743,3.0,2003-12-26,28.0
491531,3.0,2003-02-13,28.0
2284890,3.0,2005-03-10,28.0
1317671,3.0,2005-11-05,28.0
2606799,5.0,2004-11-16,28.0
1557557,3.0,2005-05-09,28.0
1984315,4.0,2003-12-24,28.0
647979,4.0,2004-02-24,28.0
2256485,3.0,2004-07-21,28.0
716173,5.0,2004-08-06,28.0
1299887,4.0,2005-02-11,28.0
789014,3.0,2003-01-03,28.0
682963,4.0,2005-06-20,28.0
16272,2.0,2003-03-14,28.0
319058,3.0,2004-07-13,28.0
305344,3.0,2003-03-18,28.0
844028,5.0,2003-05-04,28.0
1710658,4.0,2005-12-05,28.0
1403217,3.0,2004-04-28,28.0
1205174,5.0,2004-10-25,28.0
2147527,3.0,2005-01-28,28.0
74441,3.0,2003-03-03,28.0
447759,5.0,2005-07-18,28.0
2150746,2.0,2005-08-17,28.0
2584676,4.0,2004-08-01,28.0
2315012,1.0,2004-02-16,28.0
402266,5.0,2004-07-08,28.0
555528,5.0,2002-11-18,28.0
2485642,4.0,2005-08-16,28.0
2056022,4.0,2003-02-11,28.0
2220732,5.0,2003-12-28,28.0
1519378,3.0,2005-02-06,28.0
1806515,5.0,2005-07-17,28.0
2118461,5.0,2005-10-23,28.0
2157060,1.0,2005-04-13,28.0
387418,1.0,2003-08-24,28.0
1029163,2.0,2003-08-29,28.0
397212,5.0,2004-08-07,28.0
1114324,4.0,2004-11-21,28.0
1932594,3.0,2004-04-19,28.0
794999,5.0,2004-05-27,28.0
1061195,4.0,2003-10-03,28.0
1257336,5.0,2004-11-08,28.0
1461435,1.0,2003-02-12,28.0
1602153,3.0,2004-07-15,28.0
2143500,2.0,2005-09-02,28.0
2460347,1.0,2003-10-13,28.0
518137,4.0,2005-08-28,28.0
